start_zone_id,start_zone_name,end_zone_id,end_zone_name,time_bucket,duration
65,Downtown Brooklyn/MetroTech,4,Alphabet City,4:00 PM–7:00 PM,25
66,DUMBO/Vinegar Hill,4,Alphabet City,7:00 PM–10:00 PM,23
66,DUMBO/Vinegar Hill,4,Alphabet City,4:00 PM–7:00 PM,21
66,DUMBO/Vinegar Hill,4,Alphabet City,10:00 PM–8:00 AM,23
66,DUMBO/Vinegar Hill,4,Alphabet City,11:00 AM–4:00 PM,23
68,East Chelsea,4,Alphabet City,8:00 AM–11:00 AM,22
68,East Chelsea,4,Alphabet City,10:00 PM–8:00 AM,26
68,East Chelsea,4,Alphabet City,4:00 PM–7:00 PM,21
68,East Chelsea,4,Alphabet City,7:00 PM–10:00 PM,22
68,East Chelsea,4,Alphabet City,11:00 AM–4:00 PM,23
74,East Harlem North,4,Alphabet City,4:00 PM–7:00 PM,52
74,East Harlem North,4,Alphabet City,7:00 PM–10:00 PM,46
75,East Harlem South,4,Alphabet City,7:00 PM–10:00 PM,40
75,East Harlem South,4,Alphabet City,4:00 PM–7:00 PM,44
75,East Harlem South,4,Alphabet City,10:00 PM–8:00 AM,38
75,East Harlem South,4,Alphabet City,11:00 AM–4:00 PM,32
79,East Village,4,Alphabet City,10:00 PM–8:00 AM,6
79,East Village,4,Alphabet City,11:00 AM–4:00 PM,8
79,East Village,4,Alphabet City,8:00 AM–11:00 AM,6
79,East Village,4,Alphabet City,4:00 PM–7:00 PM,7
79,East Village,4,Alphabet City,7:00 PM–10:00 PM,7
80,East Williamsburg,4,Alphabet City,8:00 AM–11:00 AM,23
80,East Williamsburg,4,Alphabet City,4:00 PM–7:00 PM,20
80,East Williamsburg,4,Alphabet City,10:00 PM–8:00 AM,23
80,East Williamsburg,4,Alphabet City,7:00 PM–10:00 PM,33
80,East Williamsburg,4,Alphabet City,11:00 AM–4:00 PM,27
87,Financial District North,4,Alphabet City,8:00 AM–11:00 AM,21
87,Financial District North,4,Alphabet City,7:00 PM–10:00 PM,20
87,Financial District North,4,Alphabet City,4:00 PM–7:00 PM,20
87,Financial District North,4,Alphabet City,11:00 AM–4:00 PM,21
87,Financial District North,4,Alphabet City,10:00 PM–8:00 AM,19
88,Financial District South,4,Alphabet City,10:00 PM–8:00 AM,22
88,Financial District South,4,Alphabet City,4:00 PM–7:00 PM,22
88,Financial District South,4,Alphabet City,11:00 AM–4:00 PM,25
88,Financial District South,4,Alphabet City,7:00 PM–10:00 PM,22
88,Financial District South,4,Alphabet City,8:00 AM–11:00 AM,24
90,Flatiron,4,Alphabet City,7:00 PM–10:00 PM,18
90,Flatiron,4,Alphabet City,10:00 PM–8:00 AM,20
90,Flatiron,4,Alphabet City,11:00 AM–4:00 PM,18
90,Flatiron,4,Alphabet City,8:00 AM–11:00 AM,18
90,Flatiron,4,Alphabet City,4:00 PM–7:00 PM,18
97,Fort Greene,4,Alphabet City,7:00 PM–10:00 PM,28
97,Fort Greene,4,Alphabet City,11:00 AM–4:00 PM,29
97,Fort Greene,4,Alphabet City,8:00 AM–11:00 AM,27
97,Fort Greene,4,Alphabet City,10:00 PM–8:00 AM,32
97,Fort Greene,4,Alphabet City,4:00 PM–7:00 PM,35
100,Garment District,4,Alphabet City,11:00 AM–4:00 PM,22
100,Garment District,4,Alphabet City,10:00 PM–8:00 AM,41
100,Garment District,4,Alphabet City,4:00 PM–7:00 PM,21
100,Garment District,4,Alphabet City,7:00 PM–10:00 PM,21
100,Garment District,4,Alphabet City,8:00 AM–11:00 AM,26
103,Governor's Island/Ellis Island/Liberty Island,4,Alphabet City,4:00 PM–7:00 PM,50
106,Gowanus,4,Alphabet City,4:00 PM–7:00 PM,34
106,Gowanus,4,Alphabet City,10:00 PM–8:00 AM,46
106,Gowanus,4,Alphabet City,7:00 PM–10:00 PM,41
107,Gramercy,4,Alphabet City,8:00 AM–11:00 AM,10
107,Gramercy,4,Alphabet City,4:00 PM–7:00 PM,11
107,Gramercy,4,Alphabet City,11:00 AM–4:00 PM,12
107,Gramercy,4,Alphabet City,10:00 PM–8:00 AM,13
107,Gramercy,4,Alphabet City,7:00 PM–10:00 PM,11
112,Greenpoint,4,Alphabet City,7:00 PM–10:00 PM,28
112,Greenpoint,4,Alphabet City,11:00 AM–4:00 PM,27
112,Greenpoint,4,Alphabet City,8:00 AM–11:00 AM,30
112,Greenpoint,4,Alphabet City,10:00 PM–8:00 AM,23
112,Greenpoint,4,Alphabet City,4:00 PM–7:00 PM,30
113,Greenwich Village North,4,Alphabet City,8:00 AM–11:00 AM,11
113,Greenwich Village North,4,Alphabet City,7:00 PM–10:00 PM,11
113,Greenwich Village North,4,Alphabet City,11:00 AM–4:00 PM,11
113,Greenwich Village North,4,Alphabet City,10:00 PM–8:00 AM,11
113,Greenwich Village North,4,Alphabet City,4:00 PM–7:00 PM,10
114,Greenwich Village South,4,Alphabet City,11:00 AM–4:00 PM,10
114,Greenwich Village South,4,Alphabet City,7:00 PM–10:00 PM,11
114,Greenwich Village South,4,Alphabet City,4:00 PM–7:00 PM,10
114,Greenwich Village South,4,Alphabet City,8:00 AM–11:00 AM,10
114,Greenwich Village South,4,Alphabet City,10:00 PM–8:00 AM,10
125,Hudson Sq,4,Alphabet City,11:00 AM–4:00 PM,17
125,Hudson Sq,4,Alphabet City,7:00 PM–10:00 PM,16
125,Hudson Sq,4,Alphabet City,8:00 AM–11:00 AM,61
