start_zone,end_zone,time_bucket,taxi_win_rate,taxi_median,citi_median,end_taxi_zone_id
Alphabet City,Upper West Side South,4:00 PM–7:00 PM,0.7169,2063,2490,239
Alphabet City,Upper West Side South,7:00 PM–10:00 PM,0.9255,1686,2524,239
Alphabet City,Upper West Side South,8:00 AM–11:00 AM,0.7526,1877,2187,239
Alphabet City,Upper West Side South,10:00 PM–8:00 AM,0.9831,1344,2456,239
Alphabet City,West Chelsea/Hudson Yards,4:00 PM–7:00 PM,0.5001,1388.5,1350,246
Alphabet City,West Chelsea/Hudson Yards,7:00 PM–10:00 PM,0.5362,1260,1281.5,246
Alphabet City,West Chelsea/Hudson Yards,11:00 AM–4:00 PM,0.574,1451.5,1592.5,246
Alphabet City,West Chelsea/Hudson Yards,8:00 AM–11:00 AM,0.597,1338.5,1473,246
Alphabet City,West Chelsea/Hudson Yards,10:00 PM–8:00 AM,0.8507,966,1323.5,246
Alphabet City,West Village,4:00 PM–7:00 PM,0.5398,826,834,249
Alphabet City,West Village,7:00 PM–10:00 PM,0.5471,823,838,249
Alphabet City,West Village,11:00 AM–4:00 PM,0.5731,792,833,249
Alphabet City,West Village,8:00 AM–11:00 AM,0.5683,791,843.5,249
Alphabet City,West Village,10:00 PM–8:00 AM,0.6466,659,710.5,249
Alphabet City,Williamsburg (North Side),4:00 PM–7:00 PM,0.4783,1115,1062,255
Alphabet City,Williamsburg (North Side),7:00 PM–10:00 PM,0.7065,953,1130,255
Alphabet City,Williamsburg (North Side),11:00 AM–4:00 PM,0.6227,1020,1128,255
Alphabet City,Williamsburg (North Side),8:00 AM–11:00 AM,0.8197,856.5,1060,255
Alphabet City,Williamsburg (North Side),10:00 PM–8:00 AM,0.7237,877,1077,255
Alphabet City,Williamsburg (South Side),4:00 PM–7:00 PM,0.7066,844.5,1032,256
Alphabet City,Williamsburg (South Side),7:00 PM–10:00 PM,0.8063,810,1075,256
Alphabet City,Williamsburg (South Side),11:00 AM–4:00 PM,0.8261,788,1041,256
Alphabet City,Williamsburg (South Side),8:00 AM–11:00 AM,0.9064,679,989,256
Alphabet City,Williamsburg (South Side),10:00 PM–8:00 AM,0.8813,708.5,1077,256
Alphabet City,World Trade Center,4:00 PM–7:00 PM,0.723,1047,1250,261
Alphabet City,World Trade Center,7:00 PM–10:00 PM,0.9187,785,1385.5,261
Alphabet City,World Trade Center,11:00 AM–4:00 PM,0.9146,726,1527,261
Alphabet City,World Trade Center,8:00 AM–11:00 AM,0.9273,771,1447.5,261
Alphabet City,World Trade Center,10:00 PM–8:00 AM,0.898,680,1228,261
Alphabet City,Yorkville East,7:00 PM–10:00 PM,0.949,1013,1759,262
Alphabet City,Yorkville West,4:00 PM–7:00 PM,0.754,1557,1919.5,263
Alphabet City,Yorkville West,7:00 PM–10:00 PM,0.921,1141,1875,263
Alphabet City,Yorkville West,11:00 AM–4:00 PM,0.9029,1377,2137,263
Alphabet City,Yorkville West,8:00 AM–11:00 AM,0.9903,1320,2979,263
Alphabet City,Yorkville West,10:00 PM–8:00 AM,0.9568,925,1775,263
Battery Park,Alphabet City,4:00 PM–7:00 PM,0.9532,785.5,1354.5,4
Battery Park,Alphabet City,7:00 PM–10:00 PM,0.9915,729,1451,4
Battery Park,Alphabet City,11:00 AM–4:00 PM,0.8778,880.5,1476,4
Battery Park,Alphabet City,10:00 PM–8:00 AM,0.9782,642,1392.5,4
Battery Park,Battery Park City,4:00 PM–7:00 PM,0.4319,436,386,13
Battery Park,Battery Park City,7:00 PM–10:00 PM,0.6444,313,404,13
Battery Park,Battery Park City,11:00 AM–4:00 PM,0.5941,395,440,13
Battery Park,Battery Park City,8:00 AM–11:00 AM,0.4802,388,378,13
Battery Park,Battery Park City,10:00 PM–8:00 AM,0.8197,266,429,13
Battery Park,Bedford,4:00 PM–7:00 PM,0.9393,1622,2190,17
Battery Park,Boerum Hill,4:00 PM–7:00 PM,0.7147,1337,1509,25
Battery Park,Brooklyn Heights,4:00 PM–7:00 PM,0.8233,1271,1526,33
Battery Park,Brooklyn Heights,7:00 PM–10:00 PM,0.9267,965,1764,33
Battery Park,Carroll Gardens,4:00 PM–7:00 PM,0.889,965,1676.5,40
Battery Park,Central Park,4:00 PM–7:00 PM,0.8258,2223.5,2813,43
Battery Park,Chinatown,4:00 PM–7:00 PM,0.4569,689,598.5,45
Battery Park,Chinatown,7:00 PM–10:00 PM,0.7731,545,706,45
Battery Park,Chinatown,11:00 AM–4:00 PM,0.4519,857,747.5,45
Battery Park,Chinatown,8:00 AM–11:00 AM,0.4955,811,719,45
Battery Park,Chinatown,10:00 PM–8:00 AM,0.8031,502.5,749,45
Battery Park,Clinton East,4:00 PM–7:00 PM,0.5208,1793,1808,48
Battery Park,Clinton East,7:00 PM–10:00 PM,0.9094,1229.5,1835.5,48
Battery Park,Clinton East,11:00 AM–4:00 PM,0.5248,1915.5,1955,48
Battery Park,Clinton East,8:00 AM–11:00 AM,0.6344,1924,1986,48
Battery Park,Clinton East,10:00 PM–8:00 AM,1,1158,2233,48
Battery Park,Clinton West,4:00 PM–7:00 PM,0.5384,1788,1877,50
Battery Park,Clinton West,7:00 PM–10:00 PM,0.9349,1222,1719,50
Battery Park,Clinton West,11:00 AM–4:00 PM,0.5503,1720,1771.5,50
Battery Park,Clinton West,8:00 AM–11:00 AM,0.6507,1592,1725,50
Battery Park,Clinton West,10:00 PM–8:00 AM,0.9931,1007,1800,50
Battery Park,Cobble Hill,4:00 PM–7:00 PM,1,1230.5,1908,52
Battery Park,Downtown Brooklyn/MetroTech,4:00 PM–7:00 PM,0.8084,1098,1415,65
Battery Park,Downtown Brooklyn/MetroTech,7:00 PM–10:00 PM,0.9586,1014,1490,65
Battery Park,Downtown Brooklyn/MetroTech,10:00 PM–8:00 AM,0.9545,945,1752,65
Battery Park,DUMBO/Vinegar Hill,4:00 PM–7:00 PM,0.9028,1248,1607,66
Battery Park,DUMBO/Vinegar Hill,10:00 PM–8:00 AM,0.8257,829,1035,66
Battery Park,East Chelsea,4:00 PM–7:00 PM,0.478,1459,1448.5,68
Battery Park,East Chelsea,7:00 PM–10:00 PM,0.9694,900,1723.5,68
